22,12958.10938
27,12049.95306
20,11731.89018
13,9977.688817
35,9900.914851
48,9688.302421
17,9676.579693
28,9533.996236
12,9439.342031
16,9342.805857
34,9200.112376
19,9161.089666
30,9115.857384
21,8950.45497
31,8748.643765
29,8599.131038
49,8579.805967
18,8458.127214
23,7749.200713
1,7489
14,7440.666976
25,7381.560763
36,6860.427146
26,6642.549626
15,6399.414915
51,5881.502413
52,5774.555325
37,5556.273497
33,5412.580695
24,5296.40502
8,5234.764185
7,5128.78654
38,5092.417308
32,4900.60521
63,4414.47539
50,4408.009974
6,4402.530768
9,4305.608406
53,4290.651713
54,4275.335954
39,3911.985023
44,3854.217216
62,3812.66202
64,3625.810338
65,3554.216429
66,3125.569623
10,2979.335567
40,2435.885724
61,2410.226153
5,2341.675551
55,2272.113797
67,2184.111406
68,1964.55792
47,1777.562433
60,1634.06652
56,1571.404737
4,1498.20707
69,1493.06278
43,1417.919976
46,1158.771942
41,1150.443643
59,1025.306075
58,918.0284943
3,837.2094226
57,760.8268435
2,670.3490662
70,463.5597246
71,436.005356
42,198.2629338
45,152.7632177
72,107.2122954
73,84.46438468
11,57
75,53.69643468
74,42.47768328
77,0
78,0
76,-7
